title,price,rating,availability,url
A Light in the Attic,Â51.77,Three,Â£51.77,catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,Â53.74,One,Â£53.74,catalogue/tipping-the-velvet_999/index.html
Soumission,Â50.10,One,Â£50.10,catalogue/soumission_998/index.html
Sharp Objects,Â47.82,Four,Â£47.82,catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,Â54.23,Five,Â£54.23,catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,Â22.65,One,Â£22.65,catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,Â33.34,Four,Â£33.34,catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â17.93,Three,Â£17.93,catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â22.60,Four,Â£22.60,catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,Â52.15,One,Â£52.15,catalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",Â13.99,Two,Â£13.99,catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,Â20.66,Four,Â£20.66,catalogue/shakespeares-sonnets_989/index.html
Set Me Free,Â17.46,Five,Â£17.46,catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â52.29,Five,Â£52.29,catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,Â35.02,Five,Â£35.02,catalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â57.25,Three,Â£57.25,catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,Â23.88,One,Â£23.88,catalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,Â37.59,One,Â£37.59,catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,Â51.33,Two,Â£51.33,catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,Â45.17,Two,Â£45.17,catalogue/its-only-the-himalayas_981/index.html
